UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40007330001,Dare Sz . 27,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007314001,Surry London Sz. 30,215,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40008012001,Surry London,265,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007311001,Surry London Sz. 27,215,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40008012001,Surry London,265,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40008014001,Haywood TKO,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007300001,Haywood TKO Sz. 28,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007301001,Haywood TKO Sz. 29,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007313001,Surry London Sz. 29,215,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007312001,Surry London Sz. 28,215,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40008011001,Haywood Black,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40008011001,Haywood Black,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40008011001,Haywood Black,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007303001,Haywood Black Sz. 24,180,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007993001,Seamless Tank,30,1,Yes,Apparel,Top,,,
40006321001,Camisole-Various,22,1,Yes,Apparel,Top,,,
40006151001,Tank Seamless Pink,26,1,Yes,Apparel,Top,,,
40000003694,,198,1,Yes,Apparel,,,,
40000003694,,198,1,Yes,Apparel,,,,
40000003694,,198,1,Yes,Apparel,,,,
88837451556,,108,1,Yes,Apparel,,,,
88837451556,,108,1,Yes,Apparel,,,,
40000003989,Farrah Skinny Crop,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40000003989,Farrah Skinny Crop,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007317001,Surry White Sz. 28,195,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
