Item,Descrption,Cost,UPC1
35601,,$13.00 ,40006057001
35989,PPLA Green Top,$28.00 ,40000004031
36000,,-,40000003689
36001,,$6.00 ,40000003692
36008,,$16.50 ,40000002518
36304,,$12.25 ,40000001449
36900,,$3.75 ,40000000929
37000,Haute Heels,-,40000003690
37001,,-,40000003693
38000,,$5.18 ,40000003702
       3849T,,$14.75 ,40000002647
39000,Hand Wipes,$3.15 ,40000003703
       396ST,,$16.75 ,40000001939
39807,,$25.75 ,40000001567
40000,Hand Creme,$3.83 ,40000003704
40001,Hand Creme,$3.83 ,40000003705
40032,,$13.50 ,40006108001
       4005G,Key Cuff Dream,$22.00 ,40008021001
       4005S,Key Cuff Dream,$22.00 ,40008022001
       400BN,,$14.00 ,40000002828
40300,,$19.00 ,40000002217
40328,,$13.75 ,40000000893
40450,,$18.00 ,40000002905
40472,,$11.25 ,40000001342
40500,,$10.50 ,40000003255
40507,,$13.25 ,40000000716
41000,Body Butter,$6.53 ,40000003706
41003,Luxe Linen,$12.00 ,40007680001
41012,Pink Peony,$12.00 ,40007683001
41013,Pomegranate Sage,$12.00 ,40007682001
41014,Shoreline,$12.00 ,40007679001
41020,French Oak,$12.00 ,40000004602
41021,Cherimoya,$12.00 ,40007678001
41025,Sandalwood Vanilla,$12.00 ,40007677001
41033,Passion Fruit & Citrus,$12.00 ,40007681001
41057,,$21.50 ,40000001192
41669,,$9.25 ,40000002549
42000,Hand Creme,$3.83 ,40000003709
42701,,$3.50 ,40005374001
42703,,$3.50 ,40005373001
43000,,$3.83 ,40000003712
43202,,$9.25 ,40005950001
43421,,$29.50 ,40000000990
44000,,$6.53 ,40000003713
44218,,$9.25 ,40000002545
44303,,$19.50 ,40000000771
45000,Fuzzy Key Chain,$8.00 ,40000003822
45021,,$25.25 ,40000000319
45200,,$5.00 ,40000000848
45203,,-,40000000258
45602,,$16.00 ,40000000989
46000,Large Fuzzy Key Chain,$10.00 ,40000003823
46112,,$8.25 ,40005572001
46122,,$8.25 ,40005591001
46401,,$11.00 ,40005798001
47000,Vintage Dictionary Art,$12.00 ,40000003908
47807,,$9.25 ,40000001152
47811,,$9.25 ,40000001153
48000,,$6.00 ,40000000491
48100,,$4.50 ,40000000492
49000,Hair Tie,$3.75 ,40000003917
49500,,$6.25 ,40000000648
49799,XL Wine Glass,$5.50 ,40007534001
50000,Magnet,$1.95 ,40000003918
50002,,$6.00 ,40000000047
50012,Bathroom Guestbook,$7.50 ,40007736001
50061,Love About You,$5.00 ,40007723001
50063,You're So Awesome,$5.00 ,40007725001
50064,Wish For,$5.00 ,40007726001
50065,Love About Mom,$5.00 ,40007724001
50101,,-,40000000203
50104,,$17.75 ,40000001339
50107,Excuses and Lies,$5.00 ,40007720001
50108,Insults and Comebacks,$5.00 ,40007718001
50109,Pickup Lines and Come-Ons,$5.00 ,40005916001
